JX_FALL01: -537.106811523><434.651794434><-498.192382812><444.433288574><0><Fissures
JX_RISE03: 166.9190979><369.726196289><233.662902832><448.616394043><1><Fissures
JX_RISE04: -94.1864547729><376.357818604><-14.2319984436><599.247924805><1><Fissures
JX_RISE05: -298.226715088><563.333679199><-275.255493164><611.650268555><1><Fissures
JX_RISE06: -432.04498291><631.606750488><-388.846496582><618.014282227><0><Fissures
JX_F_S01: 69.3711013794><372.546295166><-48.7361068726><476.383392334><0><
JX_F_S02: 131.963806152><444.857727051><219.267913818><597.697875977><1><
JX_F_S03: 492.414093018><-273.13760376><413.320404053><25.8610897064><2><
JX_F_S04: -419.21661377><-523.678222656><-302.241394043><-594.845825195><0><
JX_F_S05: 349.238189697><-510.39263916><406.062683105><-768.057678223><1><
JX_F_S06: -135.961212158><-265.769104004><-411.915893555><-270.727111816><2><
JX_C_A01: -101.7315979><273.360107422><-272.317504883><340.141662598><2><Calcis
JX_C_A02: -209.851287842><190.434677124><-403.624694824><298.049713135><2><Calcis
GATE_MF_JX: -685.773010254><545.762695312><-626.859191895><582.877929688><0><
JX_FALL20: -90><-223.5><-297.842590332><-295.458709717><0><Fissures
OffScreenDen_JX: -69><664.5><394.140808105><351.877807617><1><
JX_FALLRX01: 168><-172.5><153.041061401><-297.369812012><2><
Connection: JX_FALL01,JX_RISE06,41,90,10,34,0,2
Connection: JX_FALL01,GATE_MF_JX,11,84,50,15,2,0
Connection: JX_FALL01,JX_FALL02,40,16,7,7,0,2
Connection: JX_FALL01,JX_C_A02,13,9,43,7,3,0
Connection: JX_FALL02,JX_FALL03,105,10,5,10,0,2
Connection: JX_FALL02,JX_C_A01,87,2,10,30,0,2
Connection: JX_FALL03,JX_F_S01,40,22,14,17,0,2
Connection: JX_FALL03,JX_FALL04,35,17,22,34,3,1
Connection: JX_FALL04,JX_FALLPIPE,7,8,95,28,3,1
Connection: JX_FALL04,JX_FALL05,42,8,34,31,3,1
Connection: JX_FALL05,JX_FALL06,6,26,147,25,2,0
Connection: JX_FALL05,JX_FALL07,43,21,7,19,1,2
Connection: JX_FALL05,JX_RISE01,48,12,7,14,0,2
Connection: JX_FALL05,JX_FALLTREASURE,26,15,26,22,3,1
Connection: JX_FALL06,JX_FALLSNAGGING,4,31,3,5,1,3
Connection: JX_FALL07,JX_RISE01,20,26,23,30,3,1
Connection: JX_FALL07,JX_FALL08,41,6,9,40,3,1
Connection: JX_FALL08,JX_FALL09,118,10,7,99,3,1
Connection: JX_FALL09,JX_FALLHUB,57,7,17,96,0,2
Connection: JX_FALL09,JX_FALLBACK,10,9,49,44,3,1
Connection: JX_FALL10,JX_FALLBACK,18,53,44,8,1,3
Connection: JX_FALL10,JX_FALLHUB,55,61,13,79,0,2
Connection: JX_FALL10,JX_FALL11,6,52,137,68,3,1
Connection: JX_FALL10,JX_C_A01,18,6,46,25,3,1
Connection: JX_FALL11,JX_FALL18,85,75,32,6,1,3
Connection: JX_FALL11,JX_FALL14,5,63,61,19,2,0
Connection: JX_FALL11,JX_FALL12,33,22,111,26,2,0
Connection: JX_FALL12,JX_FALL13,9,39,51,27,2,0
Connection: JX_FALL13,JX_FALL14,50,70,5,31,0,2
Connection: JX_FALL13,JX_F_S04,9,31,30,10,2,0
Connection: JX_FALL13,JX_FALL15,9,11,11,30,2,2
Connection: JX_FALL14,JX_FALL19,33,32,19,10,0,3
Connection: JX_FALL15,JX_FALL16,109,30,6,10,0,2
Connection: JX_FALL16,JX_FALL17,129,40,10,33,0,2
Connection: JX_FALL16,JX_F_S05,112,25,16,10,0,2
Connection: JX_FALL17,JX_FALLHUB,68,30,10,25,0,2
Connection: JX_FALL18,JX_FALL19,6,60,100,65,2,0
Connection: JX_FALL19,JX_FALL21,63,58,94,22,2,0
Connection: JX_FALL19,JX_FALL20,22,25,30,6,1,3
Connection: JX_FALL20,JX_F_S06,23,19,30,10,2,0
Connection: JX_FALLBACK,JX_F_S03,45,30,11,9,1,3
Connection: JX_FALLPIPE,JX_FALLTRADER,98,19,9,17,0,2
Connection: JX_FALLPIPE,JX_FALLSNAGGING,5,9,44,28,3,1
Connection: JX_RISE01,JX_RISE02,34,21,20,5,0,3
Connection: JX_RISE02,JX_RISE03,23,19,34,10,1,3
Connection: JX_RISE03,JX_F_S02,18,33,25,12,1,3
Connection: JX_RISE03,JX_RISE04,10,23,101,23,2,0
Connection: JX_RISE04,JX_RISE05,18,33,47,11,2,0
Connection: JX_RISE05,JX_RISE06,7,109,39,83,2,0
Connection: JX_C_A01,JX_C_A02,16,8,43,34,2,0
Connection: JX_FALLRX01,JX_FALL20,3,18,48,49,2,0
